material,label,trial,timestamp,reading
plastic,1,1,1744311254.380036,"[-1.1700042724609432, -0.8099990844726577, 3.291235351562591, 0.030004882812477263, -5.3699462890624545, -6.1951904296875, 1.2599853515624773, 0.44999999999998863, 4.210839843749909, -0.15000000000000568, -1.7100006103515568, -0.4840576171875455, -1.8900005340576165, -3.209996032714841, 4.840063476562591]"
plastic,1,1,1744311254.481344,"[-0.4200042724609432, -0.35999832153320455, -1.064843749999909, 0.18002929687497726, -3.7200439453124545, -8.857177734375, 4.259985351562477, -2.4000061035156364, -6.921240234375091, -4.950003051757818, -4.860002136230463, 4.5979736328124545, -5.79000015258789, 0.6899978637695341, -0.725976562499909]"
plastic,1,1,1744311254.586123,"[-4.319998168945318, 0.39000167846679545, -7.114770507812409, -1.1700073242187727, -7.4700439453124545, -3.533203125, 3.6600097656249773, -3.3000000000000114, 3.484765624999909, -1.2000030517578182, 2.3400024414062557, -9.195971679687545, -5.6400005340576165, 1.439997863769534, -5.081933593749909]"
plastic,1,1,1744311254.690486,"[2.2799926757812443, -3.660001373291017, -4.694848632812409, -3.5699707031250227, -7.0199707031249545, -2.0811767578125, 6.809973144531227, -0.44999389648438637, 4.210839843749909, 2.7000061035156193, -5.759996032714838, 2.9040039062499545, -3.089999389648437, -3.060002136230466, 0.48398437500009095]"
plastic,1,1,1744311254.795638,"[-0.8700012207031307, 8.640001678466795, -8.324853515624909, 3.1800292968749773, -3.8699462890624545, -5.46923828125, 4.559973144531227, -2.5500000000000114, 0.33876953124990905, -4.950003051757818, 1.139997863769537, -5.0819580078125455, -0.08999938964843679, -5.16000061035156, 14.278051757812591]"
plastic,1,1,1744311254.898783,"[1.9800048828124943, -2.6099983215332045, -4.452783203124909, 3.1800292968749773, -4.6199462890624545, 2.7587890625, 0.36002197265622726, 2.2499877929687386, 9.050805664062409, 1.3499999999999943, 5.639997863769537, -0.9680664062500455, -4.8900005340576165, 0.5400039672851591, 7.018041992187591]"
plastic,1,1,1744311255.001622,"[1.2300048828124943, -1.410001373291017, 3.533178710937591, 2.8799804687499773, -5.6699951171874545, 1.3067626953125, 4.259985351562477, -2.6999938964843864, -4.743139648437591, 1.2000061035156193, 2.639997863769537, 2.9040039062499545, -1.29000015258789, -3.060002136230466, 5.808081054687591]"
plastic,1,1,1744311255.10529,"[-3.7200073242187557, 7.289999389648436, -0.580834960937409, -0.5699707031250227, -1.0199707031249545, -4.9852294921875, 3.2099975585937273, 7.199999999999989, 2.758813476562409, 0.15000305175780682, 0.8400024414062557, -0.9680664062500455, 1.70999984741211, -0.06000213623046591, 1.936010742187591]"
plastic,1,1,1744311255.207413,"[1.6800018310546818, 5.6400016784667955, -10.260766601562409, -1.1700073242187727, -0.8699462890624545, 7.5987548828125, 1.7099975585937273, -4.349987792968761, -4.259252929687591, -5.400000000000006, 4.139997863769537, -6.2920410156250455, 1.70999984741211, -0.35999755859374716, 0.967993164062591]"
plastic,1,1,1744311255.31139,"[0.7799926757812443, 4.289999389648436, -3.484765624999909, -2.0699707031250227, -8.669995117187455, 1.790771484375, 1.7099975585937273, -3.4499938964843864, 1.548852539062409, 1.2000061035156193, 4.889997863769537, 10.648022460937455, -3.54000015258789, -4.560002136230466, 6.534033203125091]"
